run,case,mode,frames,global_chroma_jump,global_chroma_acceleration,raw_local_chroma_change,warped_chroma_change,flow_pixels_at_192
stable100,demo20/P01/i2v/seed42_full.json,i2v,121,0.0002122875303030014,0.00034107192186638713,0.0010224478734016883,0.0011475072065271282,0.13425018796697258
oracle60_100,demo20/P01/i2v/seed42_full.json,i2v,121,0.0005115856765769422,0.000982709345407784,0.0019528585583126793,0.001985342400924613,0.1487710977283617
stable_final,demo20/P01/i2v/seed42_full.json,i2v,121,0.00020841401419602334,0.00033327602432109416,0.0008567884010214281,0.0009246727726955821,0.061776807733501
stable100,demo20/P01/t2v/seed42_full.json,t2v,121,0.0007347965729422867,0.0007955041946843266,0.005610988600528799,0.004003434226615354,1.6158902992804844
oracle60_100,demo20/P01/t2v/seed42_full.json,t2v,121,0.0006503303302451968,0.0009491668897680938,0.0051101175777148455,0.00355115471368966,2.468332933758696
stable_final,demo20/P01/t2v/seed42_full.json,t2v,121,0.00035863046650774777,0.0005853334441781044,0.003530256946881612,0.002271356975931364,1.6078534682591756
stable100,demo20/P02/i2v/seed42_full.json,i2v,121,0.0002587924536783248,0.0003564634534996003,0.0016598995275368604,0.0011024290513887535,0.11108300203147034
oracle60_100,demo20/P02/i2v/seed42_full.json,i2v,121,0.0014106867602095008,0.0012260416988283396,0.003555555740604177,0.0028554317587501524,0.1620657780673355
stable_final,demo20/P02/i2v/seed42_full.json,i2v,121,0.0004877563042100519,0.00047013157745823264,0.0019029182728748613,0.0011905628654252118,0.16464409604668617
stable100,demo20/P02/t2v/seed42_full.json,t2v,121,0.007309481035917997,0.004906849004328251,0.011888246907134695,0.005068238790651473,0.6215406666432197
oracle60_100,demo20/P02/t2v/seed42_full.json,t2v,121,0.014493793249130249,0.014096606522798538,0.030584123111718025,0.015363088898205509,1.454511860013008
stable_final,demo20/P02/t2v/seed42_full.json,t2v,121,0.0015297307400032878,0.000981203163973987,0.007178256332796688,0.0024877196905435995,0.5276073416229338
stable100,demo20/P03/i2v/seed42_full.json,i2v,121,0.00025660922983661294,0.00041278934804722667,0.0009754965273411168,0.0008674146297077338,0.14579152660444378
oracle60_100,demo20/P03/i2v/seed42_full.json,i2v,121,0.0003899622824974358,0.0005918973474763334,0.004826459655305371,0.0035635384178021924,0.5993531413376332
stable_final,demo20/P03/i2v/seed42_full.json,i2v,121,0.0003256679920013994,0.0004445730592124164,0.004165649489732459,0.0032453469505223137,0.9978758990764618
stable100,demo20/P03/t2v/seed42_full.json,t2v,121,0.0022073453292250633,0.0021310069132596254,0.020390214077391042,0.00801626571531718,2.4430106707538166
oracle60_100,demo20/P03/t2v/seed42_full.json,t2v,121,0.011666890233755112,0.010480515658855438,0.04474511815157409,0.02651595726880866,1.9796708315610885
stable_final,demo20/P03/t2v/seed42_full.json,t2v,121,0.015765273943543434,0.01522670965641737,0.04040047954961968,0.02807917689012053,1.4380497949197888
stable100,demo20/P04/i2v/seed42_full.json,i2v,121,0.00023540355323348194,0.0003975366707891226,0.0008246760740197108,0.0008168144362571183,0.06030735993214573
oracle60_100,demo20/P04/i2v/seed42_full.json,i2v,121,0.00024832168128341436,0.00031011569080874324,0.0009714356921904255,0.0008559288718970493,0.07276057098448897
stable_final,demo20/P04/i2v/seed42_full.json,i2v,121,0.00012917518324684352,0.00019384297775104642,0.0006505049643844055,0.0005808202247862936,0.077963143249508
stable100,demo20/P04/t2v/seed42_full.json,t2v,121,0.00032751404796727,0.0005279053002595901,0.0010908511803184714,0.0012316726545880858,0.06547033372335136
oracle60_100,demo20/P04/t2v/seed42_full.json,t2v,121,0.001265502069145441,0.0009108548983931541,0.0021239729081571567,0.002205001489589146,0.051215196835498016
stable_final,demo20/P04/t2v/seed42_full.json,t2v,121,0.0006402551662176847,0.0005484879366122186,0.0022005913541458238,0.0013708346215328979,0.3560201126771669
stable100,demo20/P05/i2v/seed42_full.json,i2v,121,0.0001336207933491096,0.00017151371866930276,0.0006482577617134666,0.0005726636758481618,0.10475952854224792
oracle60_100,demo20/P05/i2v/seed42_full.json,i2v,121,0.00018735372577793896,0.00029899540822952986,0.0009628822910599411,0.0009954366534657311,0.15142394670595724
stable_final,demo20/P05/i2v/seed42_full.json,i2v,121,0.00012314294872339815,0.0001778116711648181,0.0005186279476523244,0.0005451282568780395,0.05610671683680266
stable100,demo20/P05/t2v/seed42_full.json,t2v,121,0.0016965201357379556,0.0022482676431536674,0.003346948102504636,0.002766511307951684,0.199699766212143
