start,end,sigma_lower,sigma_upper,count,sigma,loss/fm,loss/struct
1,50,0,0.2,81,0.11770036455565765,0.5600382650707975,2.5282742668081215
1,50,0.2,0.4,82,0.29280228149600146,0.2705402714995349,2.5364501796117644
1,50,0.4,0.6,79,0.5073888799812221,0.1754816888914078,2.5273628551748732
1,50,0.6,0.8,71,0.7047822231977758,0.1563442765512097,2.4045003736522834
1,50,0.8,1.0,87,0.9034435694245087,0.22792930224503594,2.46092146977611
51,100,0,0.2,72,0.11762571058029102,0.5145525888850292,1.7641725622945361
51,100,0.2,0.4,92,0.2904826890191306,0.2680703403995089,1.784625609283862
51,100,0.4,0.6,80,0.49763148799538615,0.18023172188550235,1.794597040116787
51,100,0.6,0.8,85,0.7015077801311718,0.14269522310179822,1.7617048095254337
51,100,0.8,1.0,71,0.9074474715850722,0.1763804085342817,1.7988236957872417
101,150,0,0.2,69,0.09724981148821721,0.6332465714734533,1.683990704840508
101,150,0.2,0.4,91,0.29716984665655827,0.3071657704946759,1.7406226593059497
101,150,0.4,0.6,73,0.4892606180008144,0.19622566183544185,1.70093756995789
101,150,0.6,0.8,83,0.7089291595550905,0.15452543789722833,1.7074743150228477
101,150,0.8,1.0,84,0.893890455365181,0.17165841326294912,1.7036694941066561
151,200,0,0.2,94,0.10533773934746042,0.5506333558166281,1.645096299496103
151,200,0.2,0.4,88,0.2942595314234495,0.2891967028210109,1.6546144228089938
151,200,0.4,0.6,84,0.499863614993436,0.17849931639752217,1.6623120605945587
151,200,0.6,0.8,64,0.6878689881414175,0.1263320041471161,1.6796733401715755
151,200,0.8,1.0,70,0.885650874887194,0.1906817619821855,1.6638323715754917
201,250,0,0.2,61,0.09985742372933959,0.5794469755692561,1.6307096969885904
201,250,0.2,0.4,84,0.288045964780308,0.28560397161969114,1.6344317935761952
201,250,0.4,0.6,80,0.5135310258716345,0.18304444588720797,1.5898716196417808
201,250,0.6,0.8,85,0.7025719369159026,0.13200063354828778,1.6369011149686925
201,250,0.8,1.0,90,0.8993154843648274,0.17432615543819135,1.6366713616583082
251,300,0,0.2,77,0.11314011362756228,0.5279910512171783,1.6237754047691049
251,300,0.2,0.4,76,0.30546492200933006,0.25929216834667485,1.5978546048465527
251,300,0.4,0.6,86,0.4882335849972658,0.1834373604073081,1.5973030786181606
251,300,0.6,0.8,84,0.6931753577221007,0.13570313255435654,1.5891725520292919
251,300,0.8,1.0,77,0.9066868950794269,0.17616023229701178,1.58497666074084
301,306,0,0.2,7,0.10546141383903367,0.47549849322863985,1.6106384822300501
301,306,0.2,0.4,7,0.34925299882888794,0.2470091219459261,1.5278956549508231
301,306,0.4,0.6,11,0.5041374076496471,0.2584203366528858,1.5479116873307661
301,306,0.6,0.8,9,0.7304445505142212,0.14225863623950216,1.631608870294359
301,306,0.8,1.0,14,0.8846153957503182,0.16386173465954407,1.5240176575524467
